timestamp, power.draw [W]
2025/06/01 22:20:31.777, 3.27 W
2025/06/01 22:20:32.779, 3.07 W
2025/06/01 22:20:33.780, 3.03 W
2025/06/01 22:20:34.781, 3.34 W
2025/06/01 22:20:36.270, 3.06 W
2025/06/01 22:20:37.271, 2.91 W
2025/06/01 22:20:38.272, 3.04 W
2025/06/01 22:20:39.273, 3.00 W
2025/06/01 22:20:40.274, 3.12 W
2025/06/01 22:20:41.275, 3.12 W
2025/06/01 22:20:42.276, 3.10 W
2025/06/01 22:20:43.277, 3.20 W
2025/06/01 22:20:44.278, 3.12 W
2025/06/01 22:20:45.279, 3.11 W
2025/06/01 22:20:46.280, 3.19 W
2025/06/01 22:20:47.281, 3.01 W
2025/06/01 22:20:48.283, 2.99 W
2025/06/01 22:20:49.284, 3.02 W
2025/06/01 22:20:50.285, 3.00 W
2025/06/01 22:20:51.288, 3.00 W
2025/06/01 22:20:52.289, 2.95 W
2025/06/01 22:20:53.290, 3.03 W
2025/06/01 22:20:54.291, 2.99 W
2025/06/01 22:20:55.293, 3.04 W
2025/06/01 22:20:56.294, 2.95 W
2025/06/01 22:20:57.297, 3.04 W
2025/06/01 22:20:58.298, 2.98 W
2025/06/01 22:20:59.299, 3.08 W
2025/06/01 22:21:00.300, 3.11 W
2025/06/01 22:21:01.301, 2.83 W
2025/06/01 22:21:02.303, 8.15 W
2025/06/01 22:21:03.304, 3.10 W
2025/06/01 22:21:04.305, 3.04 W
2025/06/01 22:21:05.310, 2.99 W
2025/06/01 22:21:06.311, 3.07 W
2025/06/01 22:21:07.312, 3.12 W
2025/06/01 22:21:08.829, 3.01 W
2025/06/01 22:21:09.830, 3.36 W
2025/06/01 22:21:10.831, 3.30 W
2025/06/01 22:21:11.832, 3.04 W
2025/06/01 22:21:12.836, 2.92 W
2025/06/01 22:21:13.841, 3.12 W
2025/06/01 22:21:14.842, 2.64 W
2025/06/01 22:21:15.843, 3.32 W
2025/06/01 22:21:16.845, 3.21 W
2025/06/01 22:21:17.846, 2.99 W
2025/06/01 22:21:18.847, 3.04 W
2025/06/01 22:21:19.848, 2.96 W
2025/06/01 22:21:20.849, 3.01 W
2025/06/01 22:21:21.851, 3.23 W
2025/06/01 22:21:22.852, 3.14 W
2025/06/01 22:21:23.854, 3.09 W
2025/06/01 22:21:24.855, 3.12 W
2025/06/01 22:21:25.856, 3.18 W
2025/06/01 22:21:26.857, 3.13 W
2025/06/01 22:21:27.858, 3.18 W
