frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
74,0.102,2153.169,0.046,4825.337,0.080,0.149,1478.883,0.043,5067.495
75,0.103,2123.208,0.043,5151.129,0.069,0.148,1485.281,0.045,4911.627
76,0.117,1877.620,0.043,5158.869,0.065,0.117,1879.676,0.043,5093.809
77,0.136,1621.359,0.043,5139.562,0.068,0.124,1774.278,0.043,5120.399
78,0.105,2087.068,0.043,5090.033,0.068,0.104,2111.456,0.041,5298.191
79,0.110,1993.166,0.042,5170.523,0.074,0.144,1525.879,0.043,5105.171
80,0.068,3222.175,0.076,2903.364,0.091,0.124,1766.518,0.045,4908.117
81,0.119,1853.294,0.043,5086.263,0.062,0.110,1991.431,0.046,4815.186
82,0.119,1840.379,0.043,5090.033,0.070,0.101,2183.987,0.044,5015.672
83,0.107,2047.854,0.042,5197.922,0.072,0.122,1800.801,0.042,5233.579
84,0.069,3184.812,0.044,4947.014,0.075,0.107,2052.138,0.043,5124.221
85,0.101,2177.753,0.043,5067.495,0.070,0.104,2116.011,0.046,4761.758
86,0.107,2059.525,0.044,5019.338,0.065,0.115,1906.290,0.045,4832.129
87,0.101,2177.753,0.044,4947.014,0.061,0.116,1899.960,0.043,5135.718
88,0.164,1341.629,0.046,4775.003,0.073,0.122,1806.486,0.058,3770.706
89,0.116,1895.240,0.044,4954.152,0.072,0.110,1998.968,0.043,5108.970
90,0.102,2155.196,0.043,5060.026,0.067,0.128,1713.615,0.046,4781.654
91,0.109,2008.323,0.043,5082.498,0.076,0.150,1460.637,0.097,2263.169
92,0.114,1930.949,0.045,4876.744,0.074,0.107,2061.999,0.042,5225.613
93,0.164,1340.843,0.045,4832.129,0.287,0.189,1160.462,0.044,4954.152
94,0.114,1928.779,0.047,4693.407,0.093,0.113,1936.941,0.043,5067.495
95,0.102,2144.427,0.043,5101.378,0.062,0.099,2214.985,0.041,5351.875
96,0.121,1809.343,0.043,5086.263,0.071,0.150,1469.703,0.043,5120.399
97,0.128,1720.485,0.043,5097.591,0.067,0.146,1509.443,0.043,5093.809
98,0.142,1542.677,0.043,5056.300,0.169,0.189,1160.070,0.043,5074.985
99,0.161,1361.311,0.043,5128.047,0.169,0.190,1154.414,0.099,2222.154
100,0.121,1815.562,0.043,5086.263,0.073,0.113,1950.143,0.043,5093.809
101,0.111,1986.247,0.043,5101.378,0.066,0.147,1494.983,0.043,5128.047
102,0.119,1853.795,0.043,5158.869,0.083,0.118,1865.378,0.043,5112.773
103,0.104,2111.456,0.044,5037.751,0.069,0.112,1960.164,0.043,5128.047
104,0.145,1515.774,0.045,4832.129,0.069,0.127,1736.145,0.043,5060.026
105,0.118,1861.332,0.043,5139.562,0.078,0.119,1840.379,0.043,5067.495
106,0.111,1981.661,0.043,5093.809,0.066,0.113,1949.590,0.044,5048.864
107,0.089,2476.183,0.043,5120.399,0.073,0.118,1866.899,0.076,2876.604
108,0.098,2241.742,0.042,5178.322,0.070,0.101,2177.062,0.042,5281.889
109,0.117,1870.459,0.059,3735.830,0.083,0.123,1782.106,0.043,5097.591
110,0.107,2058.907,0.070,3126.801,0.068,0.100,2190.956,0.043,5060.026
111,0.122,1797.031,0.043,5105.171,0.063,0.098,2235.174,0.044,5019.338
112,0.120,1825.699,0.043,5060.026,0.075,0.120,1836.933,0.043,5124.221
113,0.119,1845.325,0.041,5343.544,0.063,0.119,1842.354,0.042,5193.990
114,0.119,1842.849,0.044,4972.089,0.073,0.097,2260.189,0.044,4950.581
115,0.208,1056.865,0.043,5086.263,0.125,0.207,1058.984,0.101,2183.292
116,0.114,1921.762,0.044,4950.581,0.077,0.097,2269.902,0.042,5233.579
117,0.120,1837.424,0.058,3760.381,0.074,0.118,1861.332,0.045,4904.611
118,0.110,1998.968,0.045,4936.345,0.068,0.150,1462.815,0.045,4901.110
119,0.134,1642.300,0.043,5158.869,0.071,0.139,1578.133,0.043,5097.591
120,0.115,1909.470,0.044,5023.010,0.070,0.175,1253.689,0.043,5128.047
121,0.116,1895.763,0.043,5128.047,0.065,0.166,1321.743,0.043,5124.221
122,0.104,2108.215,0.043,5101.378,0.062,0.096,2281.214,0.042,5209.753
123,0.110,2003.634,0.043,5078.739,0.065,0.099,2222.154,0.043,5154.996
124,0.119,1845.821,0.043,5120.399,0.067,0.102,2143.757,0.042,5269.728
125,0.113,1952.361,0.044,5026.688,0.066,0.110,1989.700,0.042,5178.322
126,0.107,2055.209,0.044,5037.751,0.069,0.127,1735.268,0.041,5335.241
127,0.111,1982.805,0.042,5225.613,0.072,0.101,2172.241,0.041,5343.544
128,0.131,1679.250,0.045,4880.209,0.083,0.166,1324.803,0.046,4805.077
