frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
77,N/A,N/A,0.127,1732.641,0.073,N/A,N/A,0.051,4310.393
78,N/A,N/A,0.131,1672.705,0.074,N/A,N/A,0.052,4264.879
79,N/A,N/A,0.143,1540.255,0.073,N/A,N/A,0.048,4553.352
80,N/A,N/A,0.120,1833.499,0.072,N/A,N/A,0.050,4404.397
81,N/A,N/A,0.120,1827.643,0.071,N/A,N/A,0.050,4412.889
82,N/A,N/A,0.117,1872.499,0.075,N/A,N/A,0.048,4541.306
83,N/A,N/A,0.108,2037.524,0.073,N/A,N/A,0.051,4310.393
84,N/A,N/A,0.101,2175.683,0.063,N/A,N/A,0.046,4735.486
85,N/A,N/A,0.114,1932.580,0.067,N/A,N/A,0.046,4742.027
86,N/A,N/A,0.092,2388.332,0.075,N/A,N/A,0.049,4517.404
87,N/A,N/A,0.129,1697.517,0.071,N/A,N/A,0.048,4565.462
88,N/A,N/A,0.104,2106.921,0.072,N/A,N/A,0.047,4648.920
89,N/A,N/A,0.122,1806.962,0.068,N/A,N/A,0.047,4696.618
90,N/A,N/A,0.076,2909.515,0.129,N/A,N/A,0.107,2059.525
91,N/A,N/A,0.116,1886.907,0.072,N/A,N/A,0.045,4894.124
92,N/A,N/A,0.109,2014.214,0.071,N/A,N/A,0.050,4410.055
93,N/A,N/A,0.123,1788.605,0.073,N/A,N/A,0.048,4574.587
94,N/A,N/A,0.127,1732.641,0.075,N/A,N/A,0.048,4596.021
95,N/A,N/A,0.116,1886.907,0.079,N/A,N/A,0.048,4623.875
96,N/A,N/A,0.151,1451.682,0.080,N/A,N/A,0.047,4626.991
97,N/A,N/A,0.115,1904.703,0.070,N/A,N/A,0.046,4748.586
98,N/A,N/A,0.157,1399.033,0.072,N/A,N/A,0.048,4599.099
99,N/A,N/A,0.144,1521.146,0.071,N/A,N/A,0.052,4256.947
100,N/A,N/A,0.155,1420.744,0.070,N/A,N/A,0.047,4626.991
101,N/A,N/A,0.111,1975.390,0.072,N/A,N/A,0.047,4626.991
102,N/A,N/A,0.169,1299.235,0.081,N/A,N/A,0.047,4630.111
103,N/A,N/A,0.126,1746.301,0.081,N/A,N/A,0.045,4873.283
104,N/A,N/A,0.146,1504.152,0.069,N/A,N/A,0.045,4859.487
105,N/A,N/A,0.109,2024.309,0.069,N/A,N/A,0.047,4639.497
106,N/A,N/A,0.124,1768.338,0.072,N/A,N/A,0.051,4337.622
107,N/A,N/A,0.107,2059.525,0.075,N/A,N/A,0.052,4215.135
108,N/A,N/A,0.120,1831.543,0.071,N/A,N/A,0.048,4596.021
109,N/A,N/A,0.102,2147.781,0.070,N/A,N/A,0.046,4778.326
110,N/A,N/A,0.124,1766.518,0.065,N/A,N/A,0.046,4738.754
111,N/A,N/A,0.117,1881.736,0.067,N/A,N/A,0.048,4608.359
112,N/A,N/A,0.139,1581.404,0.076,N/A,N/A,0.048,4589.876
113,N/A,N/A,0.116,1902.065,0.077,N/A,N/A,0.048,4586.811
114,N/A,N/A,0.185,1187.763,0.064,N/A,N/A,0.048,4614.553
115,N/A,N/A,0.125,1760.178,0.075,N/A,N/A,0.051,4315.811
116,N/A,N/A,0.117,1879.676,0.069,N/A,N/A,0.048,4565.462
117,N/A,N/A,0.154,1431.406,0.071,N/A,N/A,0.047,4680.610
118,N/A,N/A,0.124,1777.493,0.077,N/A,N/A,0.052,4241.171
119,N/A,N/A,0.132,1660.971,0.071,N/A,N/A,0.048,4547.321
120,N/A,N/A,0.099,2226.477,0.074,N/A,N/A,0.047,4645.775
121,N/A,N/A,0.101,2177.753,0.080,N/A,N/A,0.048,4589.876
122,N/A,N/A,0.119,1846.318,0.073,N/A,N/A,0.051,4304.987
123,N/A,N/A,0.109,2008.323,0.080,N/A,N/A,0.052,4235.938
124,N/A,N/A,0.108,2027.896,0.079,N/A,N/A,0.047,4693.407
125,N/A,N/A,0.107,2052.138,0.064,N/A,N/A,0.047,4671.058
126,N/A,N/A,0.132,1667.425,0.073,N/A,N/A,0.048,4565.462
127,N/A,N/A,0.111,1978.805,0.075,N/A,N/A,0.052,4197.100
128,N/A,N/A,0.131,1679.661,0.067,N/A,N/A,0.047,4642.634
129,N/A,N/A,0.122,1795.621,0.073,N/A,N/A,0.047,4630.111
130,N/A,N/A,0.107,2050.912,0.069,N/A,N/A,0.051,4343.109
131,N/A,N/A,0.148,1483.356,0.066,N/A,N/A,0.048,4556.374
132,N/A,N/A,0.103,2137.751,0.066,N/A,N/A,0.048,4623.875
133,N/A,N/A,0.114,1920.687,0.079,N/A,N/A,0.050,4432.831
134,N/A,N/A,0.108,2042.980,0.073,N/A,N/A,0.048,4550.335
135,N/A,N/A,0.107,2058.907,0.071,N/A,N/A,0.046,4745.304
136,N/A,N/A,0.110,2001.882,0.073,N/A,N/A,0.048,4532.313
137,N/A,N/A,0.113,1950.697,0.214,N/A,N/A,0.053,4131.441
138,N/A,N/A,0.121,1819.893,0.163,N/A,N/A,0.149,1474.754
139,N/A,N/A,0.113,1950.697,0.080,N/A,N/A,0.047,4683.803
140,N/A,N/A,0.158,1391.097,0.072,N/A,N/A,0.048,4611.454
141,N/A,N/A,0.109,2019.546,0.072,N/A,N/A,0.049,4470.348
142,N/A,N/A,0.109,2021.329,0.070,N/A,N/A,0.054,4065.396
143,N/A,N/A,0.128,1715.756,0.082,N/A,N/A,0.048,4583.749
144,N/A,N/A,0.183,1201.900,0.075,N/A,N/A,0.048,4556.374
145,N/A,N/A,0.123,1780.258,0.084,N/A,N/A,0.051,4275.501
146,N/A,N/A,0.127,1728.280,0.111,N/A,N/A,0.048,4553.352
147,N/A,N/A,0.157,1399.318,0.070,N/A,N/A,0.047,4630.111
148,N/A,N/A,0.124,1775.195,0.078,N/A,N/A,0.047,4658.382
149,N/A,N/A,0.112,1954.584,0.078,N/A,N/A,0.051,4302.290
150,N/A,N/A,0.104,2121.896,0.068,N/A,N/A,0.048,4599.099
151,N/A,N/A,0.148,1488.824,0.176,N/A,N/A,0.052,4251.675
152,N/A,N/A,0.123,1790.938,0.064,N/A,N/A,0.051,4278.165
153,N/A,N/A,0.103,2133.102,0.076,N/A,N/A,0.048,4547.321
154,N/A,N/A,0.100,2197.266,0.066,N/A,N/A,0.045,4849.192
155,N/A,N/A,0.164,1337.708,0.076,N/A,N/A,0.051,4299.596
